Timestamp,Value
1434,119.27
1435,83.81
1436,110.4
1437,90.26
1438,100.73
1439,81.39
1440,86.23
1441,77.36
1442,102.34
1443,111.21
1444,105.57
1445,99.93
1446,107.99
1447,120.07
1448,117.66
1449,101.54
1450,112.01
1451,96.7
1452,92.67
1453,115.24
1454,107.99
1455,107.18
1456,75.75
1457,97.51
1458,96.7
1459,94.29
1460,112.01
1461,77.36
1462,103.15
1463,120.07
1464,99.12
1465,83.0
1466,92.67
1467,108.79
1468,92.67
1469,77.36
1470,112.82
1471,100.73
1472,92.67
1473,95.9
1474,103.96
1475,118.46
1476,117.66
1477,98.32
1478,112.82
1479,78.17
1480,83.81
1481,106.37
1482,76.56
1483,78.97
1484,84.62
1485,104.76
1486,112.82
1487,112.01
1488,77.36
1489,88.64
1490,99.12
1491,78.17
1492,120.88
1493,99.93
1494,99.12
1495,122.49
1496,101.54
1497,111.21
1498,94.29
1499,112.82
1500,86.23
1501,110.4
1502,82.2
1503,93.48
1504,104.76
1505,113.63
1506,87.03
1507,75.75
1508,100.73
1509,87.03
1510,76.56
1511,97.51
1512,109.6
1513,118.46
1514,97.51
1515,115.24
1516,112.01
1517,115.24
1518,103.96
1519,103.96
1520,119.27
1521,106.37
1522,103.15
1523,105.57
1524,77.36
1525,87.84
1526,111.21
1527,100.73
1528,102.34
1529,99.12
1530,111.21
1531,122.49
1532,106.37
1533,89.45
1534,103.96
1535,80.59
1536,80.59
1537,111.21
1538,105.57
1539,97.51
1540,85.42
1541,107.18
1542,77.36
1543,92.67
1544,94.29
1545,109.6
1546,94.29
1547,75.75
1548,111.21
1549,107.99
1550,79.78
1551,114.43
1552,113.63
1553,83.0
1554,107.18
1555,108.79
1556,117.66
1557,99.93
1558,115.24
1559,78.97
1560,84.62
1561,113.63
1562,77.36
1563,83.0
1564,101.54
1565,75.75
1566,114.43
1567,107.99
1568,76.56
1569,94.29
1570,110.4
1571,110.4
1572,77.36
1573,111.21
1574,106.37
1575,78.17
1576,112.01
1577,79.78
1578,111.21
1579,107.99
1580,107.99
1581,112.82
1582,88.64
1583,101.54
1584,79.78
1585,111.21
1586,113.63
1587,78.97
1588,87.84
1589,82.2
1590,109.6
1591,107.99
1592,93.48
1593,95.09
1594,116.04
1595,88.64
1596,92.67
1597,79.78
1598,99.12
1599,117.66
1600,101.54
1601,76.56
1602,84.62
1603,115.24
1604,87.03
1605,104.76
1606,78.17
1607,89.45
1608,91.87
1609,82.2
1610,120.88
1611,112.82
1612,109.6
1613,106.37
1614,94.29
1615,112.01
1616,106.37
1617,90.26
1618,84.62
1619,116.85
1620,91.87
1621,109.6
1622,87.84
1623,100.73
1624,116.04
1625,95.09
1626,95.9
1627,102.34
1628,87.03
1629,90.26
1630,114.43
1631,103.15
1632,112.01
1633,112.01
1634,77.36
1635,104.76
1636,116.85
1637,78.17
1638,110.4
1639,117.66
1640,93.48
1641,90.26
1642,78.17
1643,107.99
1644,116.85
1645,75.75
1646,76.56
1647,80.59
1648,95.09
1649,83.0
1650,104.76
1651,114.43
1652,100.73
1653,80.59
1654,101.54
1655,91.87
1656,86.23
1657,91.87
1658,80.59
1659,83.81
1660,108.79
1661,110.4
1662,110.4
1663,98.32
1664,112.01
1665,112.01
1666,114.43
1667,99.12
1668,93.48
1669,107.99
1670,83.81
1671,107.18
1672,78.97
1673,87.03
1674,103.15
1675,116.04
1676,82.2
1677,98.32
1678,80.59
1679,85.42
1680,117.66
1681,92.67
1682,97.51
1683,95.09
1684,112.01
1685,99.12
1686,123.3
1687,99.12
1688,111.21
1689,115.24
1690,81.39
1691,119.27
1692,103.96
1693,116.85
1694,119.27
1695,113.63
1696,84.62
1697,81.39
1698,114.43
1699,100.73
1700,110.4
1701,107.18
1702,106.37
1703,112.82
1704,98.32
1705,117.66
1706,105.57
1707,96.7
1708,95.09
1709,92.67
1710,85.42
1711,78.17
1712,78.17
1713,115.24
1714,109.6
1715,107.99
1716,84.62
1717,104.76
1718,90.26
1719,120.07
1720,117.66
1721,117.66
1722,77.36
1723,84.62
1724,96.7
1725,96.7
1726,94.29
1727,115.24
1728,115.24
1729,75.75
1730,93.48
1731,102.34
1732,90.26
1733,79.78
1734,99.93
1735,110.4
1736,78.17
1737,112.01
1738,116.85
1739,117.66
1740,93.48
1741,114.43
1742,78.97
1743,75.75
1744,105.57
1745,116.85
1746,112.82
1747,85.42
1748,103.15
1749,107.99
1750,116.04
1751,88.64
1752,118.46
1753,117.66
1754,86.23
1755,91.06
1756,88.64
1757,98.32
1758,80.59
1759,111.21
1760,87.03
1761,111.21
1762,117.66
1763,94.29
1764,99.12
1765,119.27
1766,95.9
1767,98.32
1768,111.21
1769,109.6
1770,93.48
1771,104.76
1772,101.54
1773,80.59
1774,116.04
1775,82.2
1776,115.24
1777,76.56
1778,87.03
1779,110.4
1780,115.24
1781,117.66
1782,120.07
1783,105.57
1784,110.4
1785,82.2
1786,107.18
1787,84.62
1788,80.59
1789,99.93
1790,107.18
1791,86.23
1792,111.21
1793,76.56
1794,87.03
1795,78.17
1796,107.99
1797,107.99
1798,113.63
1799,109.6
1800,119.27
1801,97.51
1802,91.06
1803,83.81
1804,100.73
1805,116.85
1806,110.4
1807,92.67
1808,82.2
1809,95.9
1810,94.29
1811,81.39
1812,113.63
1813,95.09
1814,107.18
1815,112.01
1816,77.36
1817,103.96
1818,83.0
1819,78.97
1820,102.34
1821,78.17
1822,86.23
1823,90.26
1824,109.6
1825,97.51
1826,109.6
1827,74.95
1828,105.57
1829,78.97
1830,122.49
1831,119.27
1832,115.24
1833,111.21
1834,92.67
1835,80.59
1836,112.01
1837,85.42
1838,117.66
1839,78.97
1840,80.59
1841,111.21
1842,102.34
1843,110.4
1844,103.96
1845,94.29
1846,113.63
1847,103.15
1848,94.29
1849,86.23
1850,91.06
1851,107.18
1852,87.03
1853,100.73
1854,113.63
1855,108.79
1856,105.57
1857,92.67
1858,86.23
1859,103.15
1860,75.75
1861,83.81
1862,116.04
1863,116.85
1864,116.85
1865,112.01
1866,83.81
1867,112.01
1868,87.03
1869,113.63
1870,114.43
1871,113.63
